k,fee,max_slippage,seed,hybrid_spread_mean,hybrid_depth_mean,hybrid_volume_mean,original_spread_mean,original_depth_mean,original_volume_mean,spread_mean,spread_t,spread_p,depth_mean,depth_t,depth_p,volume_mean,volume_t,volume_p
100000000000.0,0.02,0.5,121314,-1539.0369312405137,485.1868658493054,358.7866666666667,3.6966666666666668,462.37833333333333,528.4916666666667,-1542.7335979071802,-34.87209203510603,2.5173299446218448e-146,22.808532515971965,0.4636770285783822,0.6430475990868803,-169.705,-1.1644806655123936,0.2446928429145711
500000000000.0,0.02,0.5,121314,-1135.7087119746357,559.2030916212933,354.4166666666667,3.6966666666666668,462.37833333333333,528.4916666666667,-1139.4053786413021,-34.66507765253416,2.7383875322936988e-145,96.82475828795997,1.9750350052422698,0.04872290032532784,-174.075,-1.1881725663642972,0.23523631164307704
50000000000.0,0.05,0.05,91011,0.6328947368421116,393.62998727664,378.30833333333334,3.6966666666666668,462.37833333333333,528.4916666666667,-3.063771929824555,-3.1473349151783534,0.0017295157534467026,-68.74834605669326,-1.4734169797601264,0.14116392298318778,-150.18333333333334,-1.145025347403293,0.25265594781277895
10000000000.0,0.02,0.5,91011,-1808.2492283152922,416.93336252689767,367.395,3.6966666666666668,462.37833333333333,528.4916666666667,-1811.9458949819586,-35.75109508008979,1.0548566775894164e-150,-45.44497080643564,-0.9660665757653215,0.33440073746457477,-161.09666666666666,-1.2280611514213189,0.21990634050378854
100000000000.0,0.01,0.2,121314,-597.9842946546497,484.3996830500933,377.23833333333334,3.6966666666666668,462.37833333333333,528.4916666666667,-601.6809613213164,-44.11603248092917,2.4858035161053996e-190,22.02134971676005,0.4538553045217488,0.6500973650473381,-151.25333333333333,-1.035057788490114,0.30105960577592894
10000000000.0,0.01,0.1,5678,-312.26849236913273,420.0441279875613,384.41833333333335,3.6966666666666668,462.37833333333333,528.4916666666667,-315.9651590357994,-44.798522748776485,2.1337957333459708e-193,-42.334205345772084,-0.8237513628639624,0.4104087041339265,-144.07333333333332,-1.0220492283806744,0.30717019030511744
100000000000.0,0.001,0.1,1235,-347.5328954339515,648.9706460092704,439.625,3.6966666666666668,462.37833333333333,528.4916666666667,-351.2295621006182,-47.84804117848627,8.594223042126156e-207,186.59231267593705,2.232686773713466,0.025938359054483582,-88.86666666666666,-0.5337208737713801,0.5937326584904079
10000000000.0,0.01,0.2,121314,-679.4879699131831,465.2326797375046,382.29,3.6966666666666668,462.37833333333333,528.4916666666667,-683.1846365798498,-45.70006741737995,2.0760934136548272e-197,2.8543464041712285,0.0573714674672472,0.9542684236661705,-146.20166666666665,-0.9959304707833245,0.3196860720720444
500000000000.0,0.001,0.1,5678,-349.56308301374764,571.9597240919069,354.99333333333334,3.6966666666666668,462.37833333333333,528.4916666666667,-353.2597496804143,-44.116018001245756,2.486177435413145e-190,109.58139075857355,2.1277367182146616,0.033766667171922234,-173.49833333333333,-1.2350528553096904,0.21729505046532877
50000000000.0,0.05,0.1,121314,-88.48955835357728,367.9073428897334,373.98,3.6966666666666668,462.37833333333333,528.4916666666667,-92.18622502024395,-23.933409016453506,2.4240029642645464e-89,-94.47099044359994,-1.9345005208932384,0.05352218243301069,-154.51166666666666,-1.0528634422290784,0.29282810871787757
10000000000.0,0.001,0.5,1235,-1883.0172604953475,595.6374755650152,438.23,3.6966666666666668,462.37833333333333,528.4916666666667,-1886.7139271620142,-39.59642605783069,2.1877917493203114e-169,133.2591422316819,1.5944207771369434,0.11136929436432808,-90.26166666666667,-0.5418823955829879,0.5881010325704992
500000000000.0,0.02,0.5,91011,-1272.4890008805573,492.423804702057,359.11833333333334,3.6966666666666668,462.37833333333333,528.4916666666667,-1276.185667547224,-39.273422674268204,7.572743391124585e-168,30.045471368723703,0.6427294693627148,0.520645591246008,-169.37333333333333,-1.2918706898627932,0.19690014208984066
500000000000.0,0.001,0.05,5678,-160.13774027337257,575.1289389806708,369.53333333333336,3.6966666666666668,462.37833333333333,528.4916666666667,-163.83440694003923,-53.289716824605705,1.738377579221272e-229,112.75060564733754,2.1674688205322323,0.0305923736879292,-158.95833333333334,-1.135709051878769,0.2565325507944352
100000000000.0,0.01,0.1,121314,-274.35338978286165,431.835163933877,368.175,3.6966666666666668,462.37833333333333,528.4916666666667,-278.0500564495283,-45.756345587622455,1.1701964274702607e-197,-30.54316939945638,-0.6215241822123015,0.5344912483596775,-160.31666666666666,-1.0941790861789653,0.27431623795488297
50000000000.0,0.05,0.5,1235,-1311.6361497912205,662.699981122082,440.06666666666666,3.6966666666666668,462.37833333333333,528.4916666666667,-1315.3328164578872,-30.256325682349637,9.446519943719748e-123,200.32164778874872,2.399053038300646,0.016742138956175916,-88.425,-0.5306826777410659,0.5958353804453871
500000000000.0,0.05,0.2,121314,-391.409514516573,576.5481057900089,377.715,3.6966666666666668,462.37833333333333,528.4916666666667,-395.1061811832397,-31.083847412438704,4.814520665766949e-127,114.16977245667566,2.315453747504735,0.020925037250185456,-150.77666666666667,-1.0287882339988375,0.30399443353803296
50000000000.0,0.001,0.05,91011,-174.54801491969891,440.2763129939822,371.52,3.6966666666666668,462.37833333333333,528.4916666666667,-178.24468158636557,-50.5829696166409,2.182300102691806e-218,-22.10202033935121,-0.4740736099865609,0.6356201722963489,-156.97166666666666,-1.1948387636643134,0.2326229039562007
50000000000.0,0.001,0.05,5678,-163.53761231640243,453.7906011043363,374.7216666666667,3.6966666666666668,462.37833333333333,528.4916666666667,-167.2342789830691,-52.26472602779115,2.51031951172962e-225,-8.587732228997035,-0.16513015505333709,0.8688972506255374,-153.77,-1.093040884505732,0.274815236700737
100000000000.0,0.01,0.05,1235,-114.47857801804324,553.9954263984067,437.1333333333333,3.6966666666666668,462.37833333333333,528.4916666666667,-118.17524468470991,-34.663772875617454,2.779935794914245e-145,91.61709306507336,1.41551685157096,0.15743671595022043,-91.35833333333333,-0.5533972310860557,0.5801979235103911
50000000000.0,0.05,0.1,5678,-96.05967254773421,436.20853552911007,369.38666666666666,3.6966666666666668,462.37833333333333,528.4916666666667,-99.75633921440088,-25.36983222610474,5.487205789723207e-97,-26.169797804223247,-0.5151971674380899,0.6066053180902287,-159.105,-1.1412506937360738,0.25422165860903373
10000000000.0,0.05,0.2,1235,-443.5735282266433,591.2544196570967,436.9583333333333,3.6966666666666668,462.37833333333333,528.4916666666667,-447.27019489330996,-30.181911722188598,2.3043069031895216e-122,128.87608632376342,1.5412068573931608,0.12379453914016589,-91.53333333333333,-0.5498218374237361,0.5826465184567358
50000000000.0,0.001,0.5,91011,-1953.9589295521976,440.99497344375686,356.49,3.6966666666666668,462.37833333333333,528.4916666666667,-1957.6555962188643,-39.72224819688208,5.519891686198135e-170,-21.383359889576447,-0.45539850010803273,0.6489875991960673,-172.00166666666667,-1.311856866494799,0.1900709730494669
