EventTime,Δspread,Δdepth,Δvolume
2025-10-28 09:34:37,0.0,-102294.0,-39.0
2025-10-28 09:34:38,1.0,-1786.0,72.0
2025-10-28 09:34:39,1.0,-1945.0,5.0
2025-10-28 09:34:40,1.0,-2057.0,-68.0
2025-10-28 09:34:41,0.0,-100592.0,-118.0
2025-10-28 09:34:42,0.0,-677.0,142.0
2025-10-28 09:34:43,0.0,-100787.0,134.0
2025-10-28 09:34:44,0.0,-100733.0,73.0
2025-10-28 09:34:45,0.0,-101266.0,55.0
2025-10-28 09:34:46,0.0,-101321.0,8.0
2025-10-28 09:34:47,0.0,-1210.0,58.0
2025-10-28 09:34:48,-1.0,-102729.0,-142.0
2025-10-28 09:34:49,0.0,-1009.0,198.0
2025-10-28 09:34:50,0.0,-102557.0,-121.0
2025-10-28 09:34:51,0.0,-476.0,81.0
2025-10-28 09:34:52,2.0,-781.0,4.0
2025-10-28 09:34:53,2.0,-787.0,118.0
2025-10-28 09:34:54,0.0,-634.0,-165.0
2025-10-28 09:34:55,0.0,-631.0,20.0
2025-10-28 09:34:56,3.0,-100566.0,83.0
2025-10-28 09:34:57,0.0,-100366.0,-194.0
2025-10-28 09:34:58,0.0,-102544.0,274.0
2025-10-28 09:34:59,0.0,-102422.0,-66.0
2025-10-28 09:35:00,-2.0,-102156.0,-118.0
2025-10-28 09:35:01,0.0,-100494.0,73.0
2025-10-28 09:35:02,0.0,-100726.0,146.0
2025-10-28 09:35:03,0.0,-100642.0,-144.0
2025-10-28 09:35:04,-4.0,-100703.0,41.0
2025-10-28 09:35:05,0.0,-554.0,237.0
2025-10-28 09:35:06,-1.0,-409.0,-13.0
2025-10-28 09:35:07,0.0,-320.0,-51.0
2025-10-28 09:35:08,0.0,-352.0,108.0
2025-10-28 09:35:09,0.0,-104.0,-158.0
2025-10-28 09:35:10,0.0,-536.0,127.0
2025-10-28 09:35:11,0.0,-101008.0,192.0
2025-10-28 09:35:12,0.0,-100974.0,-35.0
2025-10-28 09:35:13,0.0,-101087.0,58.0
2025-10-28 09:35:14,0.0,-101072.0,93.0
2025-10-28 09:35:15,0.0,-101182.0,74.0
2025-10-28 09:35:16,0.0,-100866.0,-57.0
2025-10-28 09:35:17,1.0,-737.0,253.0
2025-10-28 09:35:18,-1.0,-791.0,-3.0
2025-10-28 09:35:19,0.0,-735.0,-69.0
2025-10-28 09:35:20,0.0,-716.0,11.0
2025-10-28 09:35:21,0.0,347.0,-83.0
2025-10-28 09:35:22,0.0,563.0,-252.0
2025-10-28 09:35:23,0.0,648.0,-14.0
2025-10-28 09:35:24,-1.0,717.0,108.0
2025-10-28 09:35:25,0.0,-99663.0,58.0
2025-10-28 09:35:26,0.0,-99462.0,12.0
2025-10-28 09:35:27,0.0,656.0,-45.0
2025-10-28 09:35:28,-1.0,-99463.0,-37.0
2025-10-28 09:35:29,0.0,-99298.0,-130.0
2025-10-28 09:35:30,-1.0,389.0,92.0
2025-10-28 09:35:31,0.0,-312.0,78.0
2025-10-28 09:35:32,0.0,-373.0,102.0
2025-10-28 09:35:33,0.0,-50.0,-223.0
2025-10-28 09:35:34,0.0,-398.0,388.0
2025-10-28 09:35:35,0.0,-258.0,-211.0
2025-10-28 09:35:36,0.0,-89.0,-87.0
2025-10-28 09:35:37,-1.0,-331.0,-61.0
2025-10-28 09:35:38,0.0,-38.0,-192.0
2025-10-28 09:35:39,0.0,-345.0,117.0
2025-10-28 09:35:40,0.0,-259.0,-7.0
2025-10-28 09:35:41,0.0,25.0,29.0
2025-10-28 09:35:42,0.0,-176.0,146.0
2025-10-28 09:35:43,0.0,-330.0,154.0
2025-10-28 09:35:44,0.0,-526.0,104.0
2025-10-28 09:35:45,0.0,-469.0,27.0
2025-10-28 09:35:46,0.0,-105.0,-268.0
2025-10-28 09:35:47,0.0,-296.0,31.0
2025-10-28 09:35:48,-1.0,-100167.0,-67.0
2025-10-28 09:35:49,0.0,99687.0,-62.0
2025-10-28 09:35:50,0.0,99411.0,32.0
2025-10-28 09:35:51,0.0,99658.0,149.0
2025-10-28 09:35:52,0.0,100271.0,-251.0
2025-10-28 09:35:53,-1.0,372.0,88.0
2025-10-28 09:35:54,0.0,349.0,116.0
2025-10-28 09:35:55,0.0,360.0,8.0
2025-10-28 09:35:56,0.0,356.0,-90.0
2025-10-28 09:35:57,0.0,446.0,-113.0
2025-10-28 09:35:58,0.0,610.0,-153.0
2025-10-28 09:35:59,0.0,607.0,84.0
2025-10-28 09:36:00,0.0,763.0,-201.0
2025-10-28 09:36:01,0.0,313.0,31.0
2025-10-28 09:36:02,0.0,159.0,177.0
2025-10-28 09:36:03,0.0,-295.0,-119.0
2025-10-28 09:36:04,0.0,-506.0,77.0
2025-10-28 09:36:05,0.0,99322.0,148.0
2025-10-28 09:36:06,0.0,99277.0,-55.0
2025-10-28 09:36:07,0.0,99176.0,207.0
2025-10-28 09:36:08,3.0,99427.0,-191.0
2025-10-28 09:36:09,-1.0,-403.0,2.0
2025-10-28 09:36:10,0.0,-2330.0,-53.0
2025-10-28 09:36:11,0.0,170.0,0.0
2025-10-28 09:36:12,0.0,-302.0,177.0
2025-10-28 09:36:13,0.0,164.0,-276.0
2025-10-28 09:36:14,0.0,100215.0,-105.0
2025-10-28 09:36:15,0.0,100180.0,69.0
2025-10-28 09:36:16,-1.0,99994.0,-30.0
2025-10-28 09:36:17,0.0,-20.0,-179.0
2025-10-28 09:36:18,-2.0,99690.0,117.0
2025-10-28 09:36:19,4.0,99450.0,284.0
2025-10-28 09:36:20,2.0,-708.0,-53.0
2025-10-28 09:36:21,0.0,-1287.0,7.0
2025-10-28 09:36:22,1.0,-1262.0,139.0
2025-10-28 09:36:23,0.0,-939.0,-225.0
